donor_id,name,age,gender,blood_group,zone,latitude,longitude,phone_number,total_donations,last_donation_date,days_since_last_donation,donation_frequency_days,availability_status,eligible_to_donate,responded_last_emergency,geo_cluster
DNR00001,Muhammad Kumar,36,Female,O+,Zone_A_General_Hospital,8.515381,76.921669,9395310485,4,2024-06-17,759.0,110.0,Not Available,1,1,3
DNR00002,Meera Das,26,Male,B+,Zone_B_Medical_College,8.513881,76.734594,9210053353,3,2024-06-22,754.0,158.0,Available,1,1,1
DNR00003,Zara Pandey,25,Male,O+,Zone_E_Community_Clinic,8.537694,76.977793,9734036506,1,2026-04-18,89.0,,Not Available,0,1,0
DNR00004,Deepak Menon,26,Female,B+,Zone_A_General_Hospital,8.542453,76.896072,9334760738,3,2026-04-12,95.0,110.0,Available,1,1,4
DNR00005,Isha Mathew,35,Male,O+,Zone_E_Community_Clinic,8.513788,77.026224,9702632297,2,2026-06-19,27.0,115.0,Available,0,0,0
DNR00006,Aadhya Krishnan,28,Female,B+,Zone_E_Community_Clinic,8.52167,76.857582,9336696312,2,2025-05-13,429.0,143.0,Temporarily Unavailable,1,1,1
DNR00007,Manoj Panicker,40,Male,B+,Zone_C_City_Hospital,8.390391,77.024115,9106977991,2,2024-04-09,828.0,152.0,Temporarily Unavailable,1,0,2
DNR00008,Sara Bose,45,Male,O+,Zone_B_Medical_College,8.569791,76.999283,9553778756,4,2024-08-01,714.0,63.0,Available,1,0,0
DNR00009,Amit Gupta,42,Male,B+,Zone_B_Medical_College,8.497227,76.948627,9919795579,2,2025-12-08,220.0,156.0,Temporarily Unavailable,1,0,3
DNR00010,Amit Kumar,35,Female,O+,Zone_A_General_Hospital,8.479826,76.915706,9203848421,4,2025-06-22,389.0,60.0,Available,1,1,3
DNR00011,Vikram Chatterjee,35,Male,AB+,Zone_C_City_Hospital,8.499055,76.825055,9384027113,6,2024-11-05,618.0,122.0,Available,1,1,1
DNR00012,Jacob Menon,56,Female,B+,Zone_D_Cottage_Hospital,8.557911,76.805469,9234031070,6,2025-01-13,549.0,176.0,Available,1,1,1
DNR00013,Elizabeth Ahmed,45,Female,B+,Zone_A_General_Hospital,8.631724,76.992307,9692749116,0,,,,Available,1,1,0
DNR00014,Anika Sen,21,Female,B+,Zone_E_Community_Clinic,8.529866,76.920057,9488302652,7,2024-02-15,882.0,107.0,Available,1,1,3
DNR00015,Swati Iyer,34,Male,B+,Zone_A_General_Hospital,8.573404,76.969883,9810026086,4,2026-05-31,46.0,131.0,Temporarily Unavailable,0,0,0
DNR00016,Isha Mishra,33,Female,O+,Zone_C_City_Hospital,8.408761,77.000833,9349957310,6,2026-04-26,81.0,81.0,Available,0,1,2
DNR00017,George Kumar,23,Female,B+,Zone_D_Cottage_Hospital,8.508653,76.897646,9586845604,5,2025-10-05,284.0,153.0,Available,1,1,3
DNR00018,Muhammad Sen,21,Female,AB+,Zone_C_City_Hospital,8.515926,76.939752,9274648506,0,,,,Not Available,1,0,3
DNR00019,Suresh Sheikh,39,Female,AB-,Zone_B_Medical_College,8.518466,76.950753,9386665249,3,2024-08-29,686.0,148.0,Available,1,1,0
DNR00020,Fatima Jain,32,Male,O+,Zone_A_General_Hospital,8.590784,76.939875,9781802744,9,2024-10-31,623.0,177.0,Available,1,1,4
DNR00021,Ananya Varghese,32,Female,AB+,Zone_B_Medical_College,8.474316,76.805494,9596348124,2,2026-01-30,167.0,212.0,Available,1,1,1
DNR00022,Ramesh Gupta,18,Male,A+,Zone_E_Community_Clinic,8.470239,77.039435,9835098955,3,2025-12-04,224.0,90.0,Available,1,1,2
DNR00023,Rahul Sen,34,Male,O+,Zone_A_General_Hospital,8.396388,76.94849,9982403818,3,2025-11-24,234.0,140.0,Available,1,1,2
DNR00024,Aditya Bose,40,Male,B+,Zone_C_City_Hospital,8.596835,76.979822,9387484583,7,2025-06-01,410.0,170.0,Available,1,1,0
DNR00025,Arjun Iyer,24,Male,A+,Zone_E_Community_Clinic,8.527989,77.019393,9870854579,3,2024-01-31,897.0,109.0,Available,1,1,0
DNR00026,Rahul Iyer,19,Female,A+,Zone_D_Cottage_Hospital,8.650991,76.78843,9790256940,4,2025-06-06,405.0,111.0,Available,1,0,1
DNR00027,Ravi Sharma,32,Female,B+,Zone_C_City_Hospital,8.446708,77.08862,9364814270,6,2026-02-24,142.0,131.0,Available,1,1,2
DNR00028,Farhan Varghese,25,Female,A+,Zone_E_Community_Clinic,8.462833,77.024174,9902099969,6,2025-10-20,269.0,142.0,Temporarily Unavailable,1,0,2
DNR00029,Kiran Fernandes,24,Male,B+,Zone_E_Community_Clinic,8.457798,77.044089,9488690725,6,2025-06-03,408.0,172.0,Available,1,1,2
DNR00030,Isha Sharma,32,Male,A+,Zone_E_Community_Clinic,8.520443,76.961702,9197613238,5,2025-02-26,505.0,166.0,Temporarily Unavailable,1,0,0
DNR00031,Sara Menon,39,Male,B-,Zone_A_General_Hospital,8.52888,76.893419,9773715057,3,2026-02-10,156.0,136.0,Available,1,1,3
DNR00032,Ananya Bose,26,Male,O+,Zone_D_Cottage_Hospital,8.530395,76.894799,9168212356,3,2024-11-13,610.0,91.0,Temporarily Unavailable,1,1,3
DNR00033,Ramesh Ahmed,29,Male,AB+,Zone_E_Community_Clinic,8.498801,76.906075,9602564736,0,,,,Available,1,1,3
DNR00034,Divya Gupta,44,Female,AB-,Zone_E_Community_Clinic,8.548613,76.877823,9112327652,3,2024-02-16,881.0,86.0,Not Available,1,0,4
DNR00035,Zara Pandey,32,Other,A+,Zone_A_General_Hospital,8.586123,76.966802,9676567501,7,2024-08-17,698.0,122.0,Available,1,0,0
DNR00036,Sara Gupta,30,Female,B+,Zone_C_City_Hospital,8.547069,76.943943,9415143362,2,2026-03-24,114.0,65.0,Not Available,1,1,0
DNR00037,Deepak Reddy,35,Male,O-,Zone_D_Cottage_Hospital,8.678417,76.822705,9875340444,8,2026-07-13,3.0,139.0,Available,0,1,4
DNR00038,Jessy Pandey,34,Male,AB-,Zone_C_City_Hospital,8.416298,76.971575,9918150683,3,2025-02-19,512.0,131.0,Temporarily Unavailable,1,1,2
DNR00039,Diya Mathew,47,Female,O-,Zone_A_General_Hospital,8.543805,76.916639,9771410971,3,2024-02-06,891.0,60.0,Available,1,1,4
DNR00040,Sneha Sen,23,Female,O+,Zone_E_Community_Clinic,8.480837,76.977324,9313579170,5,2024-10-31,623.0,182.0,Available,1,1,2
DNR00041,Rohan Sheikh,46,Male,A+,Zone_B_Medical_College,8.602358,76.79082,9936043811,6,2025-01-10,552.0,177.0,Temporarily Unavailable,1,0,1
DNR00042,Elizabeth Mathew,18,Male,AB-,Zone_A_General_Hospital,8.520597,76.804764,9448059918,2,2024-11-10,613.0,116.0,Available,1,1,1
DNR00043,Pooja Nair,20,Male,AB+,Zone_A_General_Hospital,8.554854,77.067648,9992994062,2,2025-07-10,371.0,107.0,Available,1,1,0
DNR00044,Jacob Verma,30,Male,B+,Zone_B_Medical_College,8.481714,77.026493,9358633898,3,2026-05-18,59.0,121.0,Temporarily Unavailable,0,1,2
DNR00045,Jessy Panicker,30,Female,O+,Zone_A_General_Hospital,8.510165,76.902771,9885879795,5,2026-04-20,87.0,96.0,Available,0,1,3
DNR00046,Pooja Sen,37,Male,O+,Zone_A_General_Hospital,8.543728,76.928443,9671988889,3,2024-05-29,778.0,81.0,Available,1,1,4
DNR00047,Nida Sharma,25,Male,AB+,Zone_B_Medical_College,8.478794,77.008791,9610330567,4,2024-09-09,675.0,155.0,Temporarily Unavailable,1,0,2
DNR00048,Nisha Reddy,28,Male,O+,Zone_C_City_Hospital,8.443349,76.831976,9751325257,3,2025-01-22,540.0,157.0,Available,1,1,3
DNR00049,Deepak Iyer,28,Male,A+,Zone_E_Community_Clinic,8.473926,76.810415,9883757514,6,2024-06-03,773.0,147.0,Available,1,1,1
DNR00050,Fatima Iyer,32,Female,B+,Zone_C_City_Hospital,8.532885,76.91175,9821218382,3,2025-06-03,408.0,142.0,Available,1,1,4
DNR00051,Ali Sheikh,38,Male,B-,Zone_D_Cottage_Hospital,8.455319,76.83843,9584779555,2,2025-02-02,529.0,121.0,Not Available,1,0,3
DNR00052,Krishna Das,25,Female,O+,Zone_B_Medical_College,8.594944,76.855072,9463016614,5,2026-05-12,65.0,217.0,Temporarily Unavailable,0,1,4
DNR00053,Vivaan Panicker,36,Female,A+,Zone_E_Community_Clinic,8.599648,76.932092,9731832764,3,2025-11-23,235.0,143.0,Available,1,1,4
DNR00054,Isha Nair,29,Female,B+,Zone_A_General_Hospital,8.58386,76.893467,9777641645,5,2024-07-22,724.0,60.0,Available,1,0,4
DNR00055,Vihaan Das,23,Female,O+,Zone_A_General_Hospital,8.542195,76.880816,9454794895,6,2026-06-14,32.0,103.0,Available,0,0,4
DNR00056,Arjun Mathew,32,Female,AB+,Zone_B_Medical_College,8.516877,76.967365,9818309417,2,2025-10-04,285.0,99.0,Available,1,0,0
DNR00057,Pooja Iyer,27,Female,O+,Zone_E_Community_Clinic,8.465148,77.05837,9876693898,3,2026-03-03,135.0,160.0,Not Available,1,1,2
DNR00058,Elizabeth Yadav,23,Female,A+,Zone_E_Community_Clinic,8.353396,76.981511,9607526654,1,2024-12-03,590.0,,Temporarily Unavailable,1,1,2
DNR00059,Meera Bose,58,Female,O+,Zone_D_Cottage_Hospital,8.573776,76.908195,9537077308,4,2024-04-11,826.0,80.0,Not Available,1,1,4
DNR00060,Aadhya Kumar,30,Male,AB+,Zone_A_General_Hospital,8.527614,77.006374,9562837684,2,2024-09-10,674.0,162.0,Available,1,1,0
DNR00061,Vikram Fernandes,26,Male,O+,Zone_D_Cottage_Hospital,8.545603,76.920059,9882839238,4,2025-03-25,478.0,110.0,Available,1,1,4
DNR00062,Vihaan Naidu,29,Female,B+,Zone_A_General_Hospital,8.640701,77.008438,9165082363,0,,,,Available,1,1,0
DNR00063,Anil Pandey,24,Other,B-,Zone_C_City_Hospital,8.475124,76.910798,9217326729,4,2024-04-18,819.0,125.0,Available,1,1,3
DNR00064,Meera Iyer,24,Female,B+,Zone_B_Medical_College,8.553712,76.732144,9581695135,3,2025-01-13,549.0,163.0,Temporarily Unavailable,1,1,1
DNR00065,Ishaan Fernandes,18,Female,B+,Zone_B_Medical_College,8.497948,76.960869,9596743109,1,2025-10-04,285.0,,Available,1,1,3
DNR00066,Meera Chatterjee,44,Male,A+,Zone_A_General_Hospital,8.491022,76.967806,9967607278,2,2025-04-19,453.0,152.0,Temporarily Unavailable,1,1,2
DNR00067,George Chatterjee,22,Male,O+,Zone_E_Community_Clinic,8.458553,76.910231,9154318806,1,2026-04-07,100.0,,Available,1,1,3
